index,source_node,target_node,weight,day
0,80,381,1598335.0,1
1,132,1234,180313.0,1
2,225,2023,276295.0,1
3,304,583,190646.6,1
4,314,639,404602.25,1
5,5,754,3049542.43,2
6,84,2208,895803.75,2
7,84,2214,589000.0,2
8,151,770,711283.8,2
9,175,555,2249250.0,2
10,258,642,370000.0,2
11,258,2104,330500.0,2
12,268,1848,150810.28,2
13,84,376,763700.0,3
14,84,376,399800.0,3
15,84,671,301900.0,3
16,84,671,599900.0,3
17,84,1019,402500.0,3
18,84,1019,297078.28,3
19,84,1019,450000.0,3
20,84,1019,710225.69,3
21,84,677,2298465.67,3
22,44,1373,719575.9,3
23,108,1250,1405225.83,3
24,141,1282,1632000.0,3
25,141,1685,576768.3,3
26,172,1630,420000.0,3
27,176,1020,314170.82,3
28,192,509,1628213.91,3
29,192,509,300000.0,3
30,192,597,189180.9,3
31,192,988,300000.0,3
32,192,988,200000.0,3
33,204,761,284800.0,3
34,258,972,499700.0,3
35,334,900,253500.0,3
36,334,900,272000.0,3
37,334,900,341800.0,3
38,334,2419,196500.0,3
39,74,455,1140250.0,5
40,141,681,1341971.55,6
41,141,751,1703847.24,6
42,161,512,450000.0,6
43,161,512,600000.0,6
44,167,1549,349620.0,6
45,257,523,706175.5,6
46,288,573,617963.04,6
47,314,1507,199383.0,6
48,12,2097,1653690.0,7
49,253,1605,399500.0,7
50,317,752,1022000.0,7
51,317,1453,1081394.0,7
52,80,890,888364.29,8
53,80,2051,513079.0,8
54,203,1282,511100.0,8
55,269,1395,1821850.0,8
56,313,2043,260000.0,8
57,84,2107,137000.0,9
58,106,1951,188360.0,9
59,106,1951,221600.0,9
60,106,1951,277000.0,9
61,106,1951,277000.0,9
62,106,1951,99720.0,9
63,179,1872,336930.45,9
64,279,637,330000.0,9
65,311,1117,200449.25,9
66,311,1213,498583.32,9
67,53,1419,469700.0,10
68,79,774,641000.0,10
69,161,500,400000.0,10
70,161,500,850000.0,10
71,161,936,500000.0,10
72,161,2107,500000.0,10
73,199,1656,1383370.0,10
74,227,729,250000.0,10
75,234,639,251682.08,10
76,257,1333,899300.0,10
77,308,597,380000.0,10
78,308,597,380000.0,10
79,308,597,380000.0,10
80,308,597,380000.0,10
81,308,752,380000.0,10
82,308,1228,381000.0,10
83,308,1228,381000.0,10
84,308,2101,525000.0,10
85,308,2101,100717.0,10
86,308,2101,262500.0,10
87,308,2101,381000.0,10
88,308,2101,152292.0,10
89,308,2101,152292.0,10
90,308,2101,152292.0,10
91,308,2443,826999.9,10
92,326,2366,1439000.0,11
93,82,2366,399750.0,13
94,183,2368,1345000.0,14
95,15,752,409500.0,15
96,15,752,410000.0,15
97,21,370,3236358.12,15
98,116,782,591556.86,15
99,245,805,741402.33,15
100,245,805,874759.1,15
101,323,1386,374996.0,15
102,327,783,235500.0,15
103,327,783,201500.0,15
104,327,783,201500.0,15
105,327,1112,202588.0,15
106,327,1112,202390.9,15
107,327,1473,200000.0,15
108,227,973,169000.0,16
109,106,982,120000.0,17
110,106,982,135000.0,17
111,106,982,225000.0,17
112,106,982,297000.0,17
113,106,982,402795.0,17
114,106,982,333010.0,17
115,106,982,297000.0,17
116,332,351,592500.0,17
117,332,583,480000.0,17
118,14,1153,879500.0,18
119,80,349,1098703.2,18
120,74,1432,1139138.0,19
121,181,952,428237.0,19
122,181,1200,952556.0,19
123,181,1237,928238.0,19
124,181,1500,529253.48,19
125,84,1753,349500.0,22
126,84,1915,497768.56,22
127,46,510,576000.0,23
128,84,2126,800000.0,25
129,84,2128,800000.0,25
130,84,2128,800000.0,25
131,84,2139,800000.0,25
132,84,2139,800000.0,25
133,84,2141,800000.0,25
134,84,2141,800000.0,25
135,55,893,600000.0,25
136,84,2126,800000.0,26
137,84,2127,500000.0,26
138,84,2127,500000.0,26
139,84,2127,500000.0,26
140,84,2129,800000.0,26
141,84,2129,800000.0,26
142,84,2141,400000.0,26
143,116,1656,319689.61,26
144,118,989,249988.2,26
145,118,1878,237000.0,26
146,84,2126,400000.0,29
147,84,2126,210000.0,29
148,84,2127,700000.0,29
149,84,2128,400000.0,29
150,84,2129,800000.0,29
151,84,2129,700000.0,29
152,84,2139,700000.0,29
153,84,2141,390000.0,29
154,80,646,460501.84,29
155,84,1378,575898.64,30
156,80,364,427500.0,30
157,144,341,209690.88,30
158,186,547,874703.1,30
159,6,2442,698500.0,31
160,114,1017,218900.0,31
161,84,1378,667848.8,32
162,96,1691,1199984.25,33
163,133,568,272586.15,33
164,133,568,126985.8,33
165,291,1462,650038.0,33
166,244,783,990000.0,36
167,252,398,530200.0,36
168,252,752,320000.0,36
169,277,587,2360000.0,36
170,277,982,981890.0,36
171,152,487,355486.08,37
172,152,487,406485.84,37
173,152,487,405860.66,37
174,152,1765,356497.66,37
175,152,1765,355503.34,37
176,152,1765,405490.9,37
177,252,398,208300.0,38
178,252,454,876200.93,38
179,216,1993,278860.0,39
180,332,977,802300.0,39
181,332,977,244640.0,39
182,332,2173,412500.0,40
183,161,1247,403022.4,41
184,161,1247,744000.0,41
185,161,1848,182451.15,41
186,161,1848,600000.0,41
187,116,1656,1059369.93,43
188,147,1419,350000.0,43
189,15,536,1470000.0,44
190,15,752,1615000.0,44
191,15,1589,6738500.0,44
192,334,803,134000.0,44
193,334,909,2967117.19,44
194,334,1293,115665.45,44
195,161,620,459500.0,45
196,161,1247,705289.0,45
197,161,1848,890000.0,45
198,334,803,255500.0,45
199,334,1052,258000.0,45
200,80,1958,1100664.5,47
201,96,1202,1500000.0,47
202,333,592,589786.42,47
203,333,1735,636838.5,47
204,333,2410,899998.0,47
