index,node_source,node_target
0,321,2419
1,20,1030
2,238,2421
3,257,448
4,128,563
5,281,1559
6,217,2069
7,313,1777
8,84,1954
9,79,1610
10,115,2021
11,227,2262
12,253,679
13,318,1074
14,227,1444
15,168,2032
16,166,1205
17,80,1919
18,195,1906
19,326,1194
20,21,558
21,183,391
22,126,1806
23,309,2193
24,285,1570
25,199,2321
26,75,565
27,121,910
28,16,1153
29,229,2429
30,81,1282
31,180,1490
32,137,625
33,333,2257
34,99,2090
35,216,689
36,295,1736
37,166,1097
38,57,2322
39,57,2093
40,124,1100
41,62,2437
42,198,2032
43,158,684
44,142,1908
45,255,1785
46,84,1149
47,84,920
48,87,1154
49,183,862
50,303,1452
51,143,1234
52,270,1275
53,256,1111
54,223,934
55,90,1573
56,332,1106
57,282,1514
58,84,1041
59,337,1450
60,299,700
61,61,2040
62,21,692
63,181,1876
64,124,1342
65,241,695
66,84,2209
67,261,1347
68,219,1579
69,214,1006
70,279,2384
71,117,1568
72,84,1391
73,277,1291
74,73,1232
75,235,1065
76,231,1818
77,272,395
78,50,1514
79,191,1224
80,258,2217
81,210,1237
82,232,767
83,311,1060
84,131,1358
85,179,1106
86,189,1299
87,113,523
88,21,934
89,188,1111
90,112,2284
91,337,645
92,213,875
93,211,1997
94,149,1119
95,47,842
96,258,1520
97,184,1342
98,337,1584
99,63,1052
100,156,1014
101,295,2341
102,116,2110
103,71,647
104,114,1017
105,258,473
106,191,1237
107,10,2357
108,128,2349
109,147,376
110,124,658
111,131,1600
112,332,1590
113,19,1130
114,175,1643
115,3,2354
116,82,1186
117,1,1490
118,159,881
119,159,652
120,133,1646
121,213,1117
122,292,1410
123,237,1474
124,268,787
125,206,1895
126,84,1646
127,192,1179
128,21,1297
129,183,1130
130,88,2290
131,12,1248
132,43,561
133,265,1428
134,318,766
135,297,1646
136,316,1659
137,106,846
138,226,948
139,90,2070
140,324,2008
141,322,1410
142,263,1998
143,227,2075
144,244,1490
145,151,1262
146,175,1656
147,82,1428
148,189,1554
149,302,677
150,250,1012
151,7,1254
152,131,795
153,196,1944
154,337,900
155,225,430
156,151,2201
157,168,1616
158,49,2419
159,252,2253
160,295,1657
161,157,1198
162,4,727
163,100,435
164,119,448
165,308,1367
166,318,1826
167,127,797
168,63,1307
169,278,441
170,233,964
171,262,2419
172,310,1147
173,193,1565
174,263,1072
175,84,841
176,240,1088
177,314,1791
178,307,849
179,112,1842
180,167,1549
181,198,1616
182,5,1450
183,289,980
184,177,510
185,225,1490
186,254,2191
187,285,1504
188,123,1442
189,104,1200
190,305,961
191,293,1624
192,265,1791
193,84,962
194,184,671
195,166,1260
196,166,1031
197,128,510
198,284,1252
199,148,1391
